"","pp_no","condition","trial","muscle","bin","Zdiff"
"220","pp481","429","trial6","brow","diff_bin20",-0.14806342949892
"221","pp481","429","trial6","cheek","diff_bin1",0.044847812573764
"222","pp481","429","trial6","cheek","diff_bin2",0.106458414109525
"223","pp481","429","trial6","cheek","diff_bin3",0.0126823732278266
"224","pp481","429","trial6","cheek","diff_bin4",0.135627872533527
"225","pp481","429","trial6","cheek","diff_bin5",-0.0377162751644934
"226","pp481","429","trial6","cheek","diff_bin6",0.00599196184387174
"227","pp481","429","trial6","cheek","diff_bin7",-0.106017288084209
"228","pp481","429","trial6","cheek","diff_bin8",-0.0509500559239647
"229","pp481","429","trial6","cheek","diff_bin9",0.0690178427108541
"230","pp481","429","trial6","cheek","diff_bin10",0.407085800362183
"231","pp481","429","trial6","cheek","diff_bin11",0.183306243769733
"232","pp481","429","trial6","cheek","diff_bin12",0.2767698203835
"233","pp481","429","trial6","cheek","diff_bin13",0.364829603187148
"234","pp481","429","trial6","cheek","diff_bin14",0.255908235436277
"235","pp481","429","trial6","cheek","diff_bin15",0.365233968710355
"236","pp481","429","trial6","cheek","diff_bin16",0.0716829791138032
"237","pp481","429","trial6","cheek","diff_bin17",0.166230990539804
"238","pp481","429","trial6","cheek","diff_bin18",0.0167995494641068
"239","pp481","429","trial6","cheek","diff_bin19",0.25611041819788
"240","pp481","429","trial6","cheek","diff_bin20",-0.0068925941455581
"241","pp481","429","trial7","brow","diff_bin1",-0.221032857707493
"242","pp481","429","trial7","brow","diff_bin2",-0.028456403095279
"243","pp481","429","trial7","brow","diff_bin3",0.172026038621234
"244","pp481","429","trial7","brow","diff_bin4",0.171343599994967
"245","pp481","429","trial7","brow","diff_bin5",0.0777336223919454
"246","pp481","429","trial7","brow","diff_bin6",0.154836310959606
"247","pp481","429","trial7","brow","diff_bin7",-0.367628400349915
"248","pp481","429","trial7","brow","diff_bin8",-0.064831669495353
"249","pp481","429","trial7","brow","diff_bin9",-0.204126406456768
"250","pp481","429","trial7","brow","diff_bin10",-0.102365793940031
"251","pp481","429","trial7","brow","diff_bin11",-0.167454987445296
"252","pp481","429","trial7","brow","diff_bin12",0.0562174913637954
"253","pp481","429","trial7","brow","diff_bin13",-0.328665017650225
"254","pp481","429","trial7","brow","diff_bin14",-0.226582500121097
"255","pp481","429","trial7","brow","diff_bin15",-0.204190787459247
"256","pp481","429","trial7","brow","diff_bin16",0.0228423796791966
"257","pp481","429","trial7","brow","diff_bin17",-0.468642193237907
"258","pp481","429","trial7","brow","diff_bin18",0.207306827979182
"259","pp481","429","trial7","brow","diff_bin19",-0.198641145045642
"260","pp481","429","trial7","brow","diff_bin20",-0.433786318496314
"261","pp481","429","trial7","cheek","diff_bin1",NA
"262","pp481","429","trial7","cheek","diff_bin2",NA
"263","pp481","429","trial7","cheek","diff_bin3",NA
"264","pp481","429","trial7","cheek","diff_bin4",NA
"265","pp481","429","trial7","cheek","diff_bin5",NA
"266","pp481","429","trial7","cheek","diff_bin6",NA
"267","pp481","429","trial7","cheek","diff_bin7",NA
"268","pp481","429","trial7","cheek","diff_bin8",NA
"269","pp481","429","trial7","cheek","diff_bin9",NA
"270","pp481","429","trial7","cheek","diff_bin10",NA
"271","pp481","429","trial7","cheek","diff_bin11",NA
"272","pp481","429","trial7","cheek","diff_bin12",NA
"273","pp481","429","trial7","cheek","diff_bin13",NA
"274","pp481","429","trial7","cheek","diff_bin14",NA
"275","pp481","429","trial7","cheek","diff_bin15",NA
"276","pp481","429","trial7","cheek","diff_bin16",NA
"277","pp481","429","trial7","cheek","diff_bin17",NA
"278","pp481","429","trial7","cheek","diff_bin18",NA
"279","pp481","429","trial7","cheek","diff_bin19",NA
"280","pp481","429","trial7","cheek","diff_bin20",NA
"281","pp481","429","trial8","brow","diff_bin1",0.171549619202897
"282","pp481","429","trial8","brow","diff_bin2",0.140183194795612
"283","pp481","429","trial8","brow","diff_bin3",-0.141226167035756
"284","pp481","429","trial8","brow","diff_bin4",-0.118692816168453
"285","pp481","429","trial8","brow","diff_bin5",0.0945499402392007
"286","pp481","429","trial8","brow","diff_bin6",0.0766648977508105
"287","pp481","429","trial8","brow","diff_bin7",0.0198293487632261
"288","pp481","429","trial8","brow","diff_bin8",0.0599773419085111
"289","pp481","429","trial8","brow","diff_bin9",0.155389987580917
"290","pp481","429","trial8","brow","diff_bin10",0.121371065871538
"291","pp481","429","trial8","brow","diff_bin11",-0.0143569635525957
"292","pp481","429","trial8","brow","diff_bin12",0.5266237240696
"293","pp481","429","trial8","brow","diff_bin13",0.625989363294156
"294","pp481","429","trial8","brow","diff_bin14",1.82951494741752
"295","pp481","429","trial8","brow","diff_bin15",2.1331228789033
"296","pp481","429","trial8","brow","diff_bin16",1.11273549442888
"297","pp481","429","trial8","brow","diff_bin17",1.32655767985883
"298","pp481","429","trial8","brow","diff_bin18",1.29700679972143
"299","pp481","429","trial8","brow","diff_bin19",0.962985282665035
"300","pp481","429","trial8","brow","diff_bin20",0.816080711210719
"301","pp481","429","trial8","cheek","diff_bin1",-0.020163135407139
"302","pp481","429","trial8","cheek","diff_bin2",-0.225819764459535
"303","pp481","429","trial8","cheek","diff_bin3",-0.122265430016672
"304","pp481","429","trial8","cheek","diff_bin4",-0.555818791897797
"305","pp481","429","trial8","cheek","diff_bin5",-0.417341980450773
