pp_no,condition,trial,muscle,bin,Zdiff
pp481,913,trial4,brow,diff_bin10,-0.300160940479659
pp481,913,trial4,cheek,diff_bin1,-0.231245689138342
pp481,913,trial4,cheek,diff_bin2,-0.332503443712623
pp481,913,trial4,cheek,diff_bin3,-0.187486247225244
pp481,913,trial4,cheek,diff_bin4,-0.135111546583374
pp481,913,trial4,cheek,diff_bin5,-0.606256136270453
pp481,913,trial4,cheek,diff_bin6,-0.551452464004613
pp481,913,trial4,cheek,diff_bin7,-0.16490440165864
pp481,913,trial4,cheek,diff_bin8,-0.508414123042381
pp481,913,trial4,cheek,diff_bin9,-0.431939469568926
pp481,913,trial4,cheek,diff_bin10,-0.461504608554445
pp481,913,trial5,brow,diff_bin1,NA
pp481,913,trial5,brow,diff_bin2,NA
pp481,913,trial5,brow,diff_bin3,NA
pp481,913,trial5,brow,diff_bin4,NA
pp481,913,trial5,brow,diff_bin5,NA
pp481,913,trial5,brow,diff_bin6,NA
pp481,913,trial5,brow,diff_bin7,NA
pp481,913,trial5,brow,diff_bin8,NA
pp481,913,trial5,brow,diff_bin9,NA
pp481,913,trial5,brow,diff_bin10,NA
pp481,913,trial5,cheek,diff_bin1,-0.363586689963124
pp481,913,trial5,cheek,diff_bin2,-0.379033431384313
pp481,913,trial5,cheek,diff_bin3,-0.656619344786222
pp481,913,trial5,cheek,diff_bin4,-0.548719870927646
pp481,913,trial5,cheek,diff_bin5,-0.98248106921455
pp481,913,trial5,cheek,diff_bin6,-1.30633130151678
pp481,913,trial5,cheek,diff_bin7,-1.69162692536914
pp481,913,trial5,cheek,diff_bin8,-1.29483163898454
pp481,913,trial5,cheek,diff_bin9,-1.39267365221261
pp481,913,trial5,cheek,diff_bin10,-1.59029326543161
pp481,913,trial6,brow,diff_bin1,-0.778065117146891
pp481,913,trial6,brow,diff_bin2,-1.17889620413609
pp481,913,trial6,brow,diff_bin3,-1.16968059680595
pp481,913,trial6,brow,diff_bin4,-1.60967004296959
pp481,913,trial6,brow,diff_bin5,-2.39880026649557
pp481,913,trial6,brow,diff_bin6,-2.32526673534227
pp481,913,trial6,brow,diff_bin7,-1.57303082905148
pp481,913,trial6,brow,diff_bin8,-1.45903153422361
pp481,913,trial6,brow,diff_bin9,-1.97261828736983
pp481,913,trial6,brow,diff_bin10,-2.44573927684149
pp481,913,trial6,cheek,diff_bin1,NA
