pp_no,condition,trial,muscle,bin,Zdiff
pp4811,429,trial5,brow,diff_bin4,-0.714309843606828
pp4811,429,trial5,brow,diff_bin5,-0.357922577634795
pp4811,429,trial5,brow,diff_bin6,-1.34568848739809
pp4811,429,trial5,brow,diff_bin7,-0.581858750160576
pp4811,429,trial5,brow,diff_bin8,-0.721840181762282
pp4811,429,trial5,brow,diff_bin9,-0.40303149648834
pp4811,429,trial5,brow,diff_bin10,-0.507627649767331
pp4811,429,trial5,cheek,diff_bin1,0.70090974516893
pp4811,429,trial5,cheek,diff_bin2,0.360247803089965
pp4811,429,trial5,cheek,diff_bin3,0.758126867223537
pp4811,429,trial5,cheek,diff_bin4,-0.172751695434101
pp4811,429,trial5,cheek,diff_bin5,0.250214876061876
pp4811,429,trial5,cheek,diff_bin6,NA
pp4811,429,trial5,cheek,diff_bin7,-0.509452452140055
pp4811,429,trial5,cheek,diff_bin8,0.933079221198199
pp4811,429,trial5,cheek,diff_bin9,0.0517154757032018
pp4811,429,trial5,cheek,diff_bin10,0.554786018075627
pp4811,429,trial6,brow,diff_bin1,0.477457557092729
pp4811,429,trial6,brow,diff_bin2,NA
pp4811,429,trial6,brow,diff_bin3,0.498269559632397
pp4811,429,trial6,brow,diff_bin4,-0.00784714849856349
pp4811,429,trial6,brow,diff_bin5,0.14726806949323001
pp4811,429,trial6,brow,diff_bin6,0.040308023654113
pp4811,429,trial6,brow,diff_bin7,0.431812497658537
pp4811,429,trial6,brow,diff_bin8,-0.0717209876747601
pp4811,429,trial6,brow,diff_bin9,-0.121777021886095
pp4811,429,trial6,brow,diff_bin10,0.310790946590628
pp4811,429,trial6,cheek,diff_bin1,NA
pp4811,429,trial6,cheek,diff_bin2,NA
pp4811,429,trial6,cheek,diff_bin3,NA
pp4811,429,trial6,cheek,diff_bin4,NA
pp4811,429,trial6,cheek,diff_bin5,NA
pp4811,429,trial6,cheek,diff_bin6,NA
pp4811,429,trial6,cheek,diff_bin7,NA
pp4811,429,trial6,cheek,diff_bin8,NA
pp4811,429,trial6,cheek,diff_bin9,NA
pp4811,429,trial6,cheek,diff_bin10,NA
pp4811,429,trial7,brow,diff_bin1,0.125846816293735
pp4811,429,trial7,brow,diff_bin2,0.267948440191637
pp4811,429,trial7,brow,diff_bin3,-0.903372508364147
pp4811,429,trial7,brow,diff_bin4,-0.595359744782328
pp4811,429,trial7,brow,diff_bin5,0.30793965350264
pp4811,429,trial7,brow,diff_bin6,-0.423794758975223
pp4811,429,trial7,brow,diff_bin7,-1.11251607486934
pp4811,429,trial7,brow,diff_bin8,-1.48001607287661
pp4811,429,trial7,brow,diff_bin9,0.501486403116281
pp4811,429,trial7,brow,diff_bin10,0.39338096603669
pp4811,429,trial7,cheek,diff_bin1,-0.226667829677865
pp4811,429,trial7,cheek,diff_bin2,0.364429054317032
pp4811,429,trial7,cheek,diff_bin3,-1.09042630684837
pp4811,429,trial7,cheek,diff_bin4,-0.939901262673941
pp4811,429,trial7,cheek,diff_bin5,2.00391966703557
pp4811,429,trial7,cheek,diff_bin6,-0.160648073461011
pp4811,429,trial7,cheek,diff_bin7,0.761427855034379
pp4811,429,trial7,cheek,diff_bin8,1.20706120949814
pp4811,429,trial7,cheek,diff_bin9,-0.358927407965628
pp4811,429,trial7,cheek,diff_bin10,-0.14458326611491
pp4811,429,trial8,brow,diff_bin1,0.0384802716746337
pp4811,429,trial8,brow,diff_bin2,0.378807690253643
pp4811,429,trial8,brow,diff_bin3,-0.124506464842117
pp4811,429,trial8,brow,diff_bin4,-0.411292935435585
pp4811,429,trial8,brow,diff_bin5,1.30135940938912
pp4811,429,trial8,brow,diff_bin6,-1.08614770631206
pp4811,429,trial8,brow,diff_bin7,1.42135741934853
pp4811,429,trial8,brow,diff_bin8,1.34127751262095
pp4811,429,trial8,brow,diff_bin9,-0.314909481051053
pp4811,429,trial8,brow,diff_bin10,1.57615582699721
pp4811,429,trial8,cheek,diff_bin1,-0.649854467027896
pp4811,429,trial8,cheek,diff_bin2,-0.371691227500886
pp4811,429,trial8,cheek,diff_bin3,-0.657116640211751
pp4811,429,trial8,cheek,diff_bin4,0.282784622462191
pp4811,429,trial8,cheek,diff_bin5,-0.341102073787077
pp4811,429,trial8,cheek,diff_bin6,0.501750147248089
pp4811,429,trial8,cheek,diff_bin7,1.07810261902122
pp4811,429,trial8,cheek,diff_bin8,-1.16304803868691
pp4811,429,trial8,cheek,diff_bin9,NA
pp4811,429,trial8,cheek,diff_bin10,0.682864345136324
