"","pp_no","condition","trial","muscle","bin","Zdiff"
"235","pp481","913","trial4","cheek","diff_bin5",-0.606256136270453
"236","pp481","913","trial4","cheek","diff_bin6",-0.551452464004613
"237","pp481","913","trial4","cheek","diff_bin7",-0.16490440165864
"238","pp481","913","trial4","cheek","diff_bin8",-0.508414123042381
"239","pp481","913","trial4","cheek","diff_bin9",-0.431939469568926
"240","pp481","913","trial4","cheek","diff_bin10",-0.461504608554445
"241","pp481","913","trial5","brow","diff_bin1",NA
"242","pp481","913","trial5","brow","diff_bin2",NA
"243","pp481","913","trial5","brow","diff_bin3",NA
"244","pp481","913","trial5","brow","diff_bin4",NA
"245","pp481","913","trial5","brow","diff_bin5",NA
"246","pp481","913","trial5","brow","diff_bin6",NA
"247","pp481","913","trial5","brow","diff_bin7",NA
"248","pp481","913","trial5","brow","diff_bin8",NA
"249","pp481","913","trial5","brow","diff_bin9",NA
"250","pp481","913","trial5","brow","diff_bin10",NA
"251","pp481","913","trial5","cheek","diff_bin1",-0.363586689963124
"252","pp481","913","trial5","cheek","diff_bin2",-0.379033431384313
"253","pp481","913","trial5","cheek","diff_bin3",-0.656619344786222
"254","pp481","913","trial5","cheek","diff_bin4",-0.548719870927646
"255","pp481","913","trial5","cheek","diff_bin5",-0.98248106921455
"256","pp481","913","trial5","cheek","diff_bin6",-1.30633130151678
"257","pp481","913","trial5","cheek","diff_bin7",-1.69162692536914
"258","pp481","913","trial5","cheek","diff_bin8",-1.29483163898454
"259","pp481","913","trial5","cheek","diff_bin9",-1.39267365221261
"260","pp481","913","trial5","cheek","diff_bin10",-1.59029326543161
"261","pp481","913","trial6","brow","diff_bin1",-0.778065117146891
"262","pp481","913","trial6","brow","diff_bin2",-1.17889620413609
"263","pp481","913","trial6","brow","diff_bin3",-1.16968059680595
"264","pp481","913","trial6","brow","diff_bin4",-1.60967004296959
"265","pp481","913","trial6","brow","diff_bin5",-2.39880026649557
"266","pp481","913","trial6","brow","diff_bin6",-2.32526673534227
"267","pp481","913","trial6","brow","diff_bin7",-1.57303082905148
"268","pp481","913","trial6","brow","diff_bin8",-1.45903153422361
"269","pp481","913","trial6","brow","diff_bin9",-1.97261828736983
"270","pp481","913","trial6","brow","diff_bin10",-2.44573927684149
"271","pp481","913","trial6","cheek","diff_bin1",NA
"272","pp481","913","trial6","cheek","diff_bin2",NA
"273","pp481","913","trial6","cheek","diff_bin3",NA
"274","pp481","913","trial6","cheek","diff_bin4",NA
"275","pp481","913","trial6","cheek","diff_bin5",NA
"276","pp481","913","trial6","cheek","diff_bin6",NA
"277","pp481","913","trial6","cheek","diff_bin7",NA
"278","pp481","913","trial6","cheek","diff_bin8",NA
"279","pp481","913","trial6","cheek","diff_bin9",NA
"280","pp481","913","trial6","cheek","diff_bin10",NA
"281","pp481","913","trial7","brow","diff_bin1",-0.286736128417411
"282","pp481","913","trial7","brow","diff_bin2",-0.536737379172806
"283","pp481","913","trial7","brow","diff_bin3",-0.462470425982842
"284","pp481","913","trial7","brow","diff_bin4",-0.751024165534573
"285","pp481","913","trial7","brow","diff_bin5",0.127169003573025
"286","pp481","913","trial7","brow","diff_bin6",-0.148629570123838
"287","pp481","913","trial7","brow","diff_bin7",-0.878065617449049
