pp_no,condition,emotion,trial,muscle,bin,Zdiff
pp401,dyn,929,trial1,brow,diff_bin2,0.618476598410449
pp401,dyn,929,trial1,brow,diff_bin3,0.7505382016908158
pp401,dyn,929,trial1,brow,diff_bin4,0.6004708500794773
pp401,dyn,929,trial1,brow,diff_bin5,0.6832529490165562
pp401,dyn,929,trial1,brow,diff_bin6,1.1843332039303096
pp401,dyn,929,trial1,cheek,diff_bin1,0.25108262107558044
pp401,dyn,929,trial1,cheek,diff_bin2,0.16913197826263915
pp401,dyn,929,trial1,cheek,diff_bin3,0.1879383712393199
pp401,dyn,929,trial1,cheek,diff_bin4,0.3429720854932867
pp401,dyn,929,trial1,cheek,diff_bin5,0.270186583561386
pp401,dyn,929,trial1,cheek,diff_bin6,0.37620068067887774
pp401,dyn,929,trial2,brow,diff_bin1,-0.6289598310749782
pp401,dyn,929,trial2,brow,diff_bin2,-0.5643468508360996
pp401,dyn,929,trial2,brow,diff_bin3,-0.6672585128781208
pp401,dyn,929,trial2,brow,diff_bin4,-0.6617389283281858
pp401,dyn,929,trial2,brow,diff_bin5,-0.44912406469221494
pp401,dyn,929,trial2,brow,diff_bin6,-0.5265266108226978
pp401,dyn,929,trial2,cheek,diff_bin1,0.5956231076985669
pp401,dyn,929,trial2,cheek,diff_bin2,0.6276812628149342
pp401,dyn,929,trial2,cheek,diff_bin3,0.5932227136582944
pp401,dyn,929,trial2,cheek,diff_bin4,0.5716588432303913
pp401,dyn,929,trial2,cheek,diff_bin5,0.6274035312730845
pp401,dyn,929,trial2,cheek,diff_bin6,0.5557487934758575
pp401,dyn,929,trial3,brow,diff_bin1,NA
pp401,dyn,929,trial3,brow,diff_bin2,NA
pp401,dyn,929,trial3,brow,diff_bin3,NA
pp401,dyn,929,trial3,brow,diff_bin4,NA
pp401,dyn,929,trial3,brow,diff_bin5,NA
pp401,dyn,929,trial3,brow,diff_bin6,NA
pp401,dyn,929,trial3,cheek,diff_bin1,0.3786040454845351
pp401,dyn,929,trial3,cheek,diff_bin2,0.4122690759501757
pp401,dyn,929,trial3,cheek,diff_bin3,0.41425287267767363
pp401,dyn,929,trial3,cheek,diff_bin4,0.44351387440826895
pp401,dyn,929,trial3,cheek,diff_bin5,0.4976318491344137
pp401,dyn,929,trial3,cheek,diff_bin6,0.42460829159521307
