pp_no,condition,emotion,trial,muscle,bin,Zdiff
pp402,dyn,626,trial2,brow,diff_bin2,-0.11328513092610304
pp402,dyn,626,trial2,brow,diff_bin3,-1.1404344772087363
pp402,dyn,626,trial2,brow,diff_bin4,-0.6797339049710924
pp402,dyn,626,trial2,brow,diff_bin5,-1.1753910318945053
pp402,dyn,626,trial2,brow,diff_bin6,-1.0257390619996756
pp402,dyn,626,trial2,cheek,diff_bin1,0.005101789392246814
pp402,dyn,626,trial2,cheek,diff_bin2,2.887138210951921
pp402,dyn,626,trial2,cheek,diff_bin3,0.3187313261239928
pp402,dyn,626,trial2,cheek,diff_bin4,-0.051516208235198646
pp402,dyn,626,trial2,cheek,diff_bin5,0.039888874271473584
pp402,dyn,626,trial2,cheek,diff_bin6,-0.017963044511306037
pp402,dyn,626,trial3,brow,diff_bin1,0.16974274107335663
pp402,dyn,626,trial3,brow,diff_bin2,-0.21269861316737698
pp402,dyn,626,trial3,brow,diff_bin3,-1.3293200934671567
pp402,dyn,626,trial3,brow,diff_bin4,-1.110517954878455
pp402,dyn,626,trial3,brow,diff_bin5,-0.7233140012559303
