pp_no,condition,emotion,bin,bin_no,trial,muscle,rms,bl_outlier
pp408,dyn,626,bin_3,3,trial3,brow,21.4573,TRUE
pp408,dyn,626,bin_4,4,trial3,brow,17.811,TRUE
pp408,dyn,626,bin_5,5,trial3,brow,28.7807,TRUE
pp408,dyn,626,bin_6,6,trial3,brow,38.8243,TRUE
pp408,dyn,626,bin_0,0,trial3,cheek,74.2454,TRUE
pp408,dyn,626,bin_1,1,trial3,cheek,19.2762,TRUE
pp408,dyn,626,bin_2,2,trial3,cheek,13.4396,TRUE
pp408,dyn,626,bin_3,3,trial3,cheek,12.1038,TRUE
pp408,dyn,626,bin_4,4,trial3,cheek,5.3995,TRUE
pp408,dyn,626,bin_5,5,trial3,cheek,8.9651,TRUE
pp408,dyn,626,bin_6,6,trial3,cheek,19.215,TRUE
pp408,dyn,727,bin_0,0,trial2,brow,11.4146,TRUE
pp408,dyn,727,bin_1,1,trial2,brow,6.7893,TRUE
pp408,dyn,727,bin_2,2,trial2,brow,9.2938,TRUE
pp408,dyn,727,bin_3,3,trial2,brow,6.9285,TRUE
pp408,dyn,727,bin_4,4,trial2,brow,7.4288,TRUE
pp408,dyn,727,bin_5,5,trial2,brow,7.5792,TRUE
pp408,dyn,727,bin_6,6,trial2,brow,33.5336,TRUE
pp408,dyn,727,bin_0,0,trial7,cheek,19.5699,TRUE
pp408,dyn,727,bin_1,1,trial7,cheek,4.1822,TRUE
pp408,dyn,727,bin_2,2,trial7,cheek,3.9606,TRUE
pp408,dyn,727,bin_3,3,trial7,cheek,7.958,TRUE
pp408,dyn,727,bin_4,4,trial7,cheek,9.9404,TRUE
pp408,dyn,727,bin_5,5,trial7,cheek,9.3823,TRUE
pp408,dyn,727,bin_6,6,trial7,cheek,12.3784,TRUE
pp408,dyn,828,bin_0,0,trial3,brow,70.1999,TRUE
pp408,dyn,828,bin_1,1,trial3,brow,12.1486,TRUE
pp408,dyn,828,bin_2,2,trial3,brow,54.9435,TRUE
pp408,dyn,828,bin_3,3,trial3,brow,49.0711,TRUE
pp408,dyn,828,bin_4,4,trial3,brow,12.4546,TRUE
pp408,dyn,828,bin_5,5,trial3,brow,8.1217,TRUE
pp408,dyn,828,bin_6,6,trial3,brow,5.9323,TRUE
pp408,dyn,828,bin_0,0,trial3,cheek,36.4765,TRUE
pp408,dyn,828,bin_1,1,trial3,cheek,7.3383,TRUE
pp408,dyn,828,bin_2,2,trial3,cheek,15.2481,TRUE
pp408,dyn,828,bin_3,3,trial3,cheek,14.4236,TRUE
pp408,dyn,828,bin_4,4,trial3,cheek,5.6599,TRUE
pp408,dyn,828,bin_5,5,trial3,cheek,4.786,TRUE
pp408,dyn,828,bin_6,6,trial3,cheek,14.3981,TRUE
pp408,dyn,929,bin_0,0,trial2,brow,20.2271,TRUE
pp408,dyn,929,bin_1,1,trial2,brow,8.922,TRUE
pp408,dyn,929,bin_2,2,trial2,brow,29.2285,TRUE
pp408,dyn,929,bin_3,3,trial2,brow,37.7749,TRUE
pp408,dyn,929,bin_4,4,trial2,brow,94.6125,TRUE
pp408,dyn,929,bin_5,5,trial2,brow,46.4377,TRUE
pp408,dyn,929,bin_6,6,trial2,brow,23.8172,TRUE
pp410,dyn,626,bin_0,0,trial2,brow,11.0873,TRUE
pp410,dyn,626,bin_1,1,trial2,brow,4.7751,TRUE
pp410,dyn,626,bin_2,2,trial2,brow,7.6862,TRUE
pp410,dyn,626,bin_3,3,trial2,brow,3.9762,TRUE
pp410,dyn,626,bin_4,4,trial2,brow,1.9692,TRUE
pp410,dyn,626,bin_5,5,trial2,brow,2.7677,TRUE
pp410,dyn,626,bin_6,6,trial2,brow,3.2115,TRUE
pp410,dyn,626,bin_0,0,trial5,cheek,29.9329,TRUE
pp410,dyn,626,bin_1,1,trial5,cheek,34.2595,TRUE
pp410,dyn,626,bin_2,2,trial5,cheek,70.0657,TRUE
pp410,dyn,626,bin_3,3,trial5,cheek,58.751,TRUE
pp410,dyn,626,bin_4,4,trial5,cheek,46.9689,TRUE
pp410,dyn,626,bin_5,5,trial5,cheek,35.72,TRUE
pp410,dyn,626,bin_6,6,trial5,cheek,36.4864,TRUE
pp410,dyn,727,bin_0,0,trial4,cheek,49.9442,TRUE
pp410,dyn,727,bin_1,1,trial4,cheek,41.1625,TRUE
pp410,dyn,727,bin_2,2,trial4,cheek,34.1087,TRUE
pp410,dyn,727,bin_3,3,trial4,cheek,47.649,TRUE
pp410,dyn,727,bin_4,4,trial4,cheek,67.0731,TRUE
pp410,dyn,727,bin_5,5,trial4,cheek,20.5221,TRUE
pp410,dyn,727,bin_6,6,trial4,cheek,17.2195,TRUE
pp410,dyn,727,bin_0,0,trial8,brow,18.4161,TRUE
pp410,dyn,727,bin_1,1,trial8,brow,15.0036,TRUE
pp410,dyn,727,bin_2,2,trial8,brow,10.8346,TRUE
pp410,dyn,727,bin_3,3,trial8,brow,18.9848,TRUE
pp410,dyn,727,bin_4,4,trial8,brow,17.0353,TRUE
pp410,dyn,727,bin_5,5,trial8,brow,6.8849,TRUE
pp410,dyn,727,bin_6,6,trial8,brow,2.5885,TRUE
pp410,dyn,828,bin_0,0,trial1,cheek,15.6958,TRUE
pp410,dyn,828,bin_1,1,trial1,cheek,12.1473,TRUE
pp410,dyn,828,bin_2,2,trial1,cheek,24.5629,TRUE
