pp_no,model,emotion,bin,bin_no,trial,muscle,rms
pp401,adult,232,bin_0,0,trial4,cheek,6.4243
pp401,adult,232,bin_1,1,trial4,cheek,6.7632
pp401,adult,232,bin_2,2,trial4,cheek,6.2591
pp401,adult,232,bin_3,3,trial4,cheek,5.0352
pp401,adult,232,bin_4,4,trial4,cheek,7.6704
pp401,adult,232,bin_5,5,trial4,cheek,3.8549
pp401,adult,232,bin_6,6,trial4,cheek,3.975
pp401,adult,232,bin_7,7,trial4,cheek,4.0425
pp401,adult,232,bin_8,8,trial4,cheek,4.4971
pp401,adult,232,bin_9,9,trial4,cheek,3.8925
pp401,adult,232,bin_10,10,trial4,cheek,4.5235
pp401,adult,232,bin_0,0,trial5,brow,8.8681
pp401,adult,232,bin_1,1,trial5,brow,7.648
pp401,adult,232,bin_2,2,trial5,brow,9.7384
pp401,adult,232,bin_3,3,trial5,brow,9.239
pp401,adult,232,bin_4,4,trial5,brow,7.288
pp401,adult,232,bin_5,5,trial5,brow,8.0039
pp401,adult,232,bin_6,6,trial5,brow,8.8698
pp401,adult,232,bin_7,7,trial5,brow,11.8939
pp401,adult,232,bin_8,8,trial5,brow,7.0524
pp401,adult,232,bin_9,9,trial5,brow,8.255
pp401,adult,232,bin_10,10,trial5,brow,7.8379
pp401,adult,232,bin_0,0,trial5,cheek,2.7208
pp401,adult,232,bin_1,1,trial5,cheek,3.5576
pp401,adult,232,bin_2,2,trial5,cheek,4.6301
pp401,adult,232,bin_3,3,trial5,cheek,5.0197
pp401,adult,232,bin_4,4,trial5,cheek,4.9084
pp401,adult,232,bin_5,5,trial5,cheek,4.1139
pp401,adult,232,bin_6,6,trial5,cheek,4.2687
pp401,adult,232,bin_7,7,trial5,cheek,4.2147
pp401,adult,232,bin_8,8,trial5,cheek,4.3421
pp401,adult,232,bin_9,9,trial5,cheek,4.0006
pp401,adult,232,bin_10,10,trial5,cheek,4.6417
pp401,adult,232,bin_0,0,trial6,brow,10.3153
pp401,adult,232,bin_1,1,trial6,brow,13.0249
pp401,adult,232,bin_2,2,trial6,brow,9.6885
pp401,adult,232,bin_3,3,trial6,brow,10.3116
pp401,adult,232,bin_4,4,trial6,brow,9.4944
pp401,adult,232,bin_5,5,trial6,brow,10.46
pp401,adult,232,bin_6,6,trial6,brow,9.538
pp401,adult,232,bin_7,7,trial6,brow,11.5597
pp401,adult,232,bin_8,8,trial6,brow,9.5233
pp401,adult,232,bin_9,9,trial6,brow,10.9777
pp401,adult,232,bin_10,10,trial6,brow,11.1644
pp401,adult,232,bin_0,0,trial6,cheek,3.5618
pp401,adult,232,bin_1,1,trial6,cheek,3.8072
pp401,adult,232,bin_2,2,trial6,cheek,3.3812
pp401,adult,232,bin_3,3,trial6,cheek,3.42
pp401,adult,232,bin_4,4,trial6,cheek,3.101
pp401,adult,232,bin_5,5,trial6,cheek,3.9417
pp401,adult,232,bin_6,6,trial6,cheek,7.9034
pp401,adult,232,bin_7,7,trial6,cheek,4.5126
pp401,adult,232,bin_8,8,trial6,cheek,5.7106
pp401,adult,232,bin_9,9,trial6,cheek,3.9519
pp401,adult,232,bin_10,10,trial6,cheek,3.7193
pp401,adult,232,bin_0,0,trial7,brow,9.8249
pp401,adult,232,bin_1,1,trial7,brow,10.3298
pp401,adult,232,bin_2,2,trial7,brow,9.7944
pp401,adult,232,bin_3,3,trial7,brow,8.575
pp401,adult,232,bin_4,4,trial7,brow,11.1376
pp401,adult,232,bin_5,5,trial7,brow,11.111
pp401,adult,232,bin_6,6,trial7,brow,9.0849
pp401,adult,232,bin_7,7,trial7,brow,9.8658
pp401,adult,232,bin_8,8,trial7,brow,12.6333
pp401,adult,232,bin_9,9,trial7,brow,9.9838
pp401,adult,232,bin_10,10,trial7,brow,7.9345
pp401,adult,232,bin_0,0,trial7,cheek,3.364
pp401,adult,232,bin_1,1,trial7,cheek,3.475
pp401,adult,232,bin_2,2,trial7,cheek,4.2721
pp401,adult,232,bin_3,3,trial7,cheek,3.8092
pp401,adult,232,bin_4,4,trial7,cheek,5.3655
pp401,adult,232,bin_5,5,trial7,cheek,5.2907
pp401,adult,232,bin_6,6,trial7,cheek,4.6359
pp401,adult,232,bin_7,7,trial7,cheek,4.5344
pp401,adult,232,bin_8,8,trial7,cheek,3.7161
pp401,adult,232,bin_9,9,trial7,cheek,4.2556
pp401,adult,232,bin_10,10,trial7,cheek,3.2439
pp401,adult,232,bin_0,0,trial8,brow,11.1265
pp401,adult,232,bin_1,1,trial8,brow,9.0745
pp401,adult,232,bin_2,2,trial8,brow,8.5404
pp401,adult,232,bin_3,3,trial8,brow,8.5466
pp401,adult,232,bin_4,4,trial8,brow,9.4678
pp401,adult,232,bin_5,5,trial8,brow,10.1512
pp401,adult,232,bin_6,6,trial8,brow,10.2819
pp401,adult,232,bin_7,7,trial8,brow,9.1038
pp401,adult,232,bin_8,8,trial8,brow,10.5909
pp401,adult,232,bin_9,9,trial8,brow,9.2498
pp401,adult,232,bin_10,10,trial8,brow,12.0445
pp401,adult,232,bin_0,0,trial8,cheek,4.7252
pp401,adult,232,bin_1,1,trial8,cheek,3.4572
pp401,adult,232,bin_2,2,trial8,cheek,3.4913
pp401,adult,232,bin_3,3,trial8,cheek,4.2797
pp401,adult,232,bin_4,4,trial8,cheek,4.3993
pp401,adult,232,bin_5,5,trial8,cheek,3.3829
pp401,adult,232,bin_6,6,trial8,cheek,3.354
pp401,adult,232,bin_7,7,trial8,cheek,3.3737
pp401,adult,232,bin_8,8,trial8,cheek,3.7355
pp401,adult,232,bin_9,9,trial8,cheek,2.924
pp401,adult,232,bin_10,10,trial8,cheek,3.2054
pp401,child,323,bin_0,0,trial1,brow,3.8651
pp401,child,323,bin_1,1,trial1,brow,3.9838
pp401,child,323,bin_2,2,trial1,brow,4.1958
pp401,child,323,bin_3,3,trial1,brow,4.6739
pp401,child,323,bin_4,4,trial1,brow,4.2463
pp401,child,323,bin_5,5,trial1,brow,4.9506
pp401,child,323,bin_6,6,trial1,brow,5.371
pp401,child,323,bin_7,7,trial1,brow,3.3481
pp401,child,323,bin_8,8,trial1,brow,4.5292
pp401,child,323,bin_9,9,trial1,brow,3.3614
pp401,child,323,bin_10,10,trial1,brow,4.0867000000000004
pp401,child,323,bin_0,0,trial1,cheek,4.8613
pp401,child,323,bin_1,1,trial1,cheek,4.1348
pp401,child,323,bin_2,2,trial1,cheek,5.1891
pp401,child,323,bin_3,3,trial1,cheek,3.8029
pp401,child,323,bin_4,4,trial1,cheek,4.3254
pp401,child,323,bin_5,5,trial1,cheek,3.7507
pp401,child,323,bin_6,6,trial1,cheek,4.8024
pp401,child,323,bin_7,7,trial1,cheek,4.815
pp401,child,323,bin_8,8,trial1,cheek,3.6143
pp401,child,323,bin_9,9,trial1,cheek,4.5536
pp401,child,323,bin_10,10,trial1,cheek,4.9637
pp401,child,323,bin_0,0,trial2,brow,8.9281
pp401,child,323,bin_1,1,trial2,brow,NA
pp401,child,323,bin_2,2,trial2,brow,7.5952
pp401,child,323,bin_3,3,trial2,brow,5.675
pp401,child,323,bin_4,4,trial2,brow,5.7187
pp401,child,323,bin_5,5,trial2,brow,10.2285
pp401,child,323,bin_6,6,trial2,brow,6.7882
pp401,child,323,bin_7,7,trial2,brow,5.4016
pp401,child,323,bin_8,8,trial2,brow,5.6388
pp401,child,323,bin_9,9,trial2,brow,5.2911
pp401,child,323,bin_10,10,trial2,brow,6.5241
pp401,child,323,bin_0,0,trial2,cheek,4.2651
pp401,child,323,bin_1,1,trial2,cheek,5.1559
pp401,child,323,bin_2,2,trial2,cheek,4.6054
pp401,child,323,bin_3,3,trial2,cheek,3.5503
pp401,child,323,bin_4,4,trial2,cheek,3.4861
pp401,child,323,bin_5,5,trial2,cheek,4.3486
pp401,child,323,bin_6,6,trial2,cheek,4.1672
pp401,child,323,bin_7,7,trial2,cheek,4.8247
pp401,child,323,bin_8,8,trial2,cheek,4.4191
pp401,child,323,bin_9,9,trial2,cheek,3.8323
pp401,child,323,bin_10,10,trial2,cheek,3.9531
pp401,child,323,bin_0,0,trial3,brow,10.4144
