pp_no,model,emotion,trial,muscle,bin,zdiff,emo
pp401,adult,434,trial1,brow,diff_bin2,-0.12114826128063358,Fear
pp401,adult,434,trial1,brow,diff_bin3,-0.0465284177079211,Fear
pp401,adult,434,trial1,brow,diff_bin4,-0.21220616101798204,Fear
pp401,adult,434,trial1,brow,diff_bin5,0.03313129560737735,Fear
pp401,adult,434,trial1,brow,diff_bin6,-0.07047311530349631,Fear
pp401,adult,434,trial1,brow,diff_bin7,0.2347473505839771,Fear
pp401,adult,434,trial1,brow,diff_bin8,-0.055034526978107595,Fear
pp401,adult,434,trial1,brow,diff_bin9,-0.40221137684077685,Fear
pp401,adult,434,trial1,cheek,diff_bin1,0.05956888340388167,Fear
pp401,adult,434,trial1,cheek,diff_bin10,0.05281309644718574,Fear
pp401,adult,434,trial1,cheek,diff_bin2,-0.05148606686640633,Fear
pp401,adult,434,trial1,cheek,diff_bin3,-0.013230082790196052,Fear
pp401,adult,434,trial1,cheek,diff_bin4,0.03145998410191497,Fear
pp401,adult,434,trial1,cheek,diff_bin5,0.01391370408938547,Fear
pp401,adult,434,trial1,cheek,diff_bin6,NA,Fear
pp401,adult,434,trial1,cheek,diff_bin7,0.1730768277477318,Fear
pp401,adult,434,trial1,cheek,diff_bin8,0.029838059058739985,Fear
pp401,adult,434,trial1,cheek,diff_bin9,0.12171139993412364,Fear
pp401,adult,434,trial2,brow,diff_bin1,0.042955851814442725,Fear
pp401,adult,434,trial2,brow,diff_bin10,-0.8124822922150559,Fear
pp401,adult,434,trial2,brow,diff_bin2,0.0887187196880469,Fear
pp401,adult,434,trial2,brow,diff_bin3,0.027559794035404817,Fear
pp401,adult,434,trial2,brow,diff_bin4,-0.5230406590237788,Fear
pp401,adult,434,trial2,brow,diff_bin5,-0.5211905802575134,Fear
pp401,adult,434,trial2,brow,diff_bin6,-0.07038805421079464,Fear
pp401,adult,434,trial2,brow,diff_bin7,-0.6141198240343027,Fear
pp401,adult,434,trial2,brow,diff_bin8,-0.10149914886650246,Fear
pp401,adult,434,trial2,brow,diff_bin9,-0.4085696935202417,Fear
pp401,adult,434,trial2,cheek,diff_bin1,-0.021835668556463406,Fear
pp401,adult,434,trial2,cheek,diff_bin10,0.03462340815306625,Fear
pp401,adult,434,trial2,cheek,diff_bin2,0.030682532428327025,Fear
