pp_no,model,emotion,trial,muscle,bin,zdiff,emo_type
pp401,adult,232,trial1,cheek,bin9,-0.07018512005011801,adult_angry
pp401,adult,232,trial3,brow,bin1,0.05898986778874471,adult_angry
pp401,adult,232,trial3,brow,in10,-0.40797426587132846,adult_angry
pp401,adult,232,trial3,brow,bin2,-0.05373734531440433,adult_angry
pp401,adult,232,trial3,brow,bin3,-0.07308874390407905,adult_angry
pp401,adult,232,trial3,brow,bin4,-0.16346615489981242,adult_angry
pp401,adult,232,trial3,brow,bin5,-0.09597017784088135,adult_angry
pp401,adult,232,trial3,brow,bin6,-0.49199336018759754,adult_angry
pp401,adult,232,trial3,brow,bin7,0.14481651032492826,adult_angry
pp401,adult,232,trial3,brow,bin8,-0.3309089158834374,adult_angry
pp401,adult,232,trial3,brow,bin9,-0.3048376909703151,adult_angry
pp401,adult,232,trial3,cheek,bin1,-0.04194217735615341,adult_angry
pp401,adult,232,trial3,cheek,in10,-0.18382710778596606,adult_angry
pp401,adult,232,trial3,cheek,bin2,0.10006339212645735,adult_angry
pp401,adult,232,trial3,cheek,bin3,-0.07936709240197642,adult_angry
pp401,adult,232,trial3,cheek,bin4,-0.005040031539122303,adult_angry
pp401,adult,232,trial3,cheek,bin5,0.126751431473246,adult_angry
pp401,adult,232,trial3,cheek,bin6,0.09270440990577081,adult_angry
pp401,adult,232,trial3,cheek,bin7,0.02662101765078967,adult_angry
pp401,adult,232,trial3,cheek,bin8,0.02765315176917371,adult_angry
pp401,adult,232,trial3,cheek,bin9,-0.08943375114102131,adult_angry
pp401,adult,232,trial4,brow,bin1,0.022860168663626834,adult_angry
pp401,adult,232,trial4,brow,in10,0.3545558996545562,adult_angry
pp401,adult,232,trial4,brow,bin2,-0.09171712320578773,adult_angry
pp401,adult,232,trial4,brow,bin3,0.5664218163017308,adult_angry
pp401,adult,232,trial4,brow,bin4,0.5176818101835614,adult_angry
pp401,adult,232,trial4,brow,bin5,0.046251969156640094,adult_angry
pp401,adult,232,trial4,brow,bin6,0.15959587518187768,adult_angry
pp401,adult,232,trial4,brow,bin7,0.05405632441203634,adult_angry
pp401,adult,232,trial4,brow,bin8,-0.1377351743574976,adult_angry
pp401,adult,232,trial4,brow,bin9,-0.16859108573509984,adult_angry
pp401,adult,232,trial4,cheek,bin1,0.04542730554809977,adult_angry
pp401,adult,232,trial4,cheek,in10,-0.254789679509672,adult_angry
pp401,adult,232,trial4,cheek,bin2,-0.022143968358058565,adult_angry
pp401,adult,232,trial4,cheek,bin3,-0.1861996758243295,adult_angry
pp401,adult,232,trial4,cheek,bin4,0.167031470768625,adult_angry
pp401,adult,232,trial4,cheek,bin5,-0.3444110913994904,adult_angry
pp401,adult,232,trial4,cheek,bin6,-0.3283124800205386,adult_angry
