pp_no,model,emotion,bin,bin_no,trial,muscle,rms,bl_outlier
pp402,child,525,bin_10,10,trial8,cheek,12.874,TRUE
pp402,adult,535,bin_0,0,trial5,cheek,10.4775,TRUE
pp402,adult,535,bin_1,1,trial5,cheek,8.8469,TRUE
pp402,adult,535,bin_2,2,trial5,cheek,8.886,TRUE
pp402,adult,535,bin_3,3,trial5,cheek,8.9711,TRUE
pp402,adult,535,bin_4,4,trial5,cheek,9.3735,TRUE
pp402,adult,535,bin_5,5,trial5,cheek,12.013,TRUE
pp402,adult,535,bin_6,6,trial5,cheek,9.4475,TRUE
pp402,adult,535,bin_7,7,trial5,cheek,9.5369,TRUE
pp402,adult,535,bin_8,8,trial5,cheek,9.8872,TRUE
pp402,adult,535,bin_9,9,trial5,cheek,9.7559,TRUE
pp402,adult,535,bin_10,10,trial5,cheek,10.8015,TRUE
pp403,child,121,bin_0,0,trial3,brow,24.5298,TRUE
pp403,child,121,bin_1,1,trial3,brow,9.7472,TRUE
pp403,child,121,bin_2,2,trial3,brow,13.4843,TRUE
pp403,child,121,bin_3,3,trial3,brow,8.3678,TRUE
pp403,child,121,bin_4,4,trial3,brow,10.672,TRUE
pp403,child,121,bin_5,5,trial3,brow,6.3889,TRUE
pp403,child,121,bin_6,6,trial3,brow,5.3822,TRUE
pp403,child,121,bin_7,7,trial3,brow,7.2846,TRUE
pp403,child,121,bin_8,8,trial3,brow,11.1044,TRUE
pp403,child,121,bin_9,9,trial3,brow,11.2088,TRUE
pp403,child,121,bin_10,10,trial3,brow,22.1760042,TRUE
pp403,child,121,bin_0,0,trial3,cheek,24.8308,TRUE
pp403,child,121,bin_1,1,trial3,cheek,9.7438,TRUE
pp403,child,121,bin_2,2,trial3,cheek,9.9644,TRUE
pp403,child,121,bin_3,3,trial3,cheek,7.3362,TRUE
pp403,child,121,bin_4,4,trial3,cheek,8.8315,TRUE
pp403,child,121,bin_5,5,trial3,cheek,10.8997,TRUE
pp403,child,121,bin_6,6,trial3,cheek,12.2972,TRUE
pp403,child,121,bin_7,7,trial3,cheek,6.378,TRUE
pp403,child,121,bin_8,8,trial3,cheek,9.5469,TRUE
pp403,child,121,bin_9,9,trial3,cheek,15.3317,TRUE
pp403,child,121,bin_10,10,trial3,cheek,22.91704858,TRUE
pp403,adult,131,bin_0,0,trial1,cheek,12.799,TRUE
pp403,adult,131,bin_1,1,trial1,cheek,3.1523,TRUE
pp403,adult,131,bin_2,2,trial1,cheek,4.5844,TRUE
pp403,adult,131,bin_3,3,trial1,cheek,4.2585,TRUE
pp403,adult,131,bin_4,4,trial1,cheek,4.1447,TRUE
pp403,adult,131,bin_5,5,trial1,cheek,3.7786,TRUE
pp403,adult,131,bin_6,6,trial1,cheek,4.9377,TRUE
pp403,adult,131,bin_7,7,trial1,cheek,4.0379,TRUE
pp403,adult,131,bin_8,8,trial1,cheek,4.0173,TRUE
pp403,adult,131,bin_9,9,trial1,cheek,3.9144,TRUE
pp403,adult,131,bin_10,10,trial1,cheek,4.7306,TRUE
pp403,adult,232,bin_0,0,trial3,brow,8.4796,TRUE
pp403,adult,232,bin_1,1,trial3,brow,6.9943,TRUE
pp403,adult,232,bin_2,2,trial3,brow,9.3017,TRUE
pp403,adult,232,bin_3,3,trial3,brow,7.7135,TRUE
pp403,adult,232,bin_4,4,trial3,brow,6.4192,TRUE
pp403,adult,232,bin_5,5,trial3,brow,6.6378,TRUE
pp403,adult,232,bin_6,6,trial3,brow,9.4448,TRUE
pp403,adult,232,bin_7,7,trial3,brow,7.7473,TRUE
pp403,adult,232,bin_8,8,trial3,brow,7.7296,TRUE
pp403,adult,232,bin_9,9,trial3,brow,7.0146,TRUE
pp403,adult,232,bin_10,10,trial3,brow,6.3869,TRUE
pp403,adult,232,bin_0,0,trial5,cheek,11.1744,TRUE
pp403,adult,232,bin_1,1,trial5,cheek,7.4065,TRUE
pp403,adult,232,bin_2,2,trial5,cheek,5.6714,TRUE
pp403,adult,232,bin_3,3,trial5,cheek,5.6894,TRUE
pp403,adult,232,bin_4,4,trial5,cheek,3.8482,TRUE
pp403,adult,232,bin_5,5,trial5,cheek,4.9618,TRUE
pp403,adult,232,bin_6,6,trial5,cheek,5.1231,TRUE
pp403,adult,232,bin_7,7,trial5,cheek,5.1474,TRUE
pp403,adult,232,bin_8,8,trial5,cheek,4.1628,TRUE
pp403,adult,232,bin_9,9,trial5,cheek,4.0644,TRUE
pp403,adult,232,bin_10,10,trial5,cheek,6.1273,TRUE
pp403,child,323,bin_0,0,trial6,cheek,28.6018,TRUE
pp403,child,323,bin_1,1,trial6,cheek,27.3029,TRUE
pp403,child,323,bin_2,2,trial6,cheek,8.2868,TRUE
pp403,child,323,bin_3,3,trial6,cheek,6.4797,TRUE
pp403,child,323,bin_4,4,trial6,cheek,12.4817,TRUE
pp403,child,323,bin_5,5,trial6,cheek,26.6337,TRUE
pp403,child,323,bin_6,6,trial6,cheek,25.2198,TRUE
pp403,child,323,bin_7,7,trial6,cheek,12.4241,TRUE
pp403,child,323,bin_8,8,trial6,cheek,13.5501,TRUE
pp403,child,323,bin_9,9,trial6,cheek,9.4962,TRUE
pp403,child,323,bin_10,10,trial6,cheek,26.5196,TRUE
pp403,child,424,bin_0,0,trial7,brow,26.2317,TRUE
pp403,child,424,bin_1,1,trial7,brow,14.0176,TRUE
pp403,child,424,bin_2,2,trial7,brow,23.4101,TRUE
pp403,child,424,bin_3,3,trial7,brow,12.3433,TRUE
pp403,child,424,bin_4,4,trial7,brow,7.9926,TRUE
pp403,child,424,bin_5,5,trial7,brow,10.5373,TRUE
pp403,child,424,bin_6,6,trial7,brow,17.8756,TRUE
pp403,child,424,bin_7,7,trial7,brow,17.7539,TRUE
pp403,child,424,bin_8,8,trial7,brow,31.1886,TRUE
pp403,child,424,bin_9,9,trial7,brow,15.1436,TRUE
pp403,child,424,bin_10,10,trial7,brow,9.0964,TRUE
pp403,child,424,bin_0,0,trial7,cheek,30.6278,TRUE
pp403,child,424,bin_1,1,trial7,cheek,29.404,TRUE
pp403,child,424,bin_2,2,trial7,cheek,16.2575,TRUE
pp403,child,424,bin_3,3,trial7,cheek,19.7817,TRUE
pp403,child,424,bin_4,4,trial7,cheek,10.0857,TRUE
pp403,child,424,bin_5,5,trial7,cheek,10.7324,TRUE
pp403,child,424,bin_6,6,trial7,cheek,16.8574,TRUE
pp403,child,424,bin_7,7,trial7,cheek,16.5929,TRUE
pp403,child,424,bin_8,8,trial7,cheek,52.5726,TRUE
pp403,child,424,bin_9,9,trial7,cheek,35.6995,TRUE
pp403,child,424,bin_10,10,trial7,cheek,12.7472,TRUE
pp403,adult,434,bin_0,0,trial3,cheek,9.607,TRUE
pp403,adult,434,bin_1,1,trial3,cheek,7.9306,TRUE
pp403,adult,434,bin_2,2,trial3,cheek,5.8905,TRUE
pp403,adult,434,bin_3,3,trial3,cheek,4.8467,TRUE
pp403,adult,434,bin_4,4,trial3,cheek,3.244,TRUE
pp403,adult,434,bin_5,5,trial3,cheek,4.294,TRUE
pp403,adult,434,bin_6,6,trial3,cheek,4.535,TRUE
pp403,adult,434,bin_7,7,trial3,cheek,4.3924,TRUE
pp403,adult,434,bin_8,8,trial3,cheek,8.943,TRUE
pp403,adult,434,bin_9,9,trial3,cheek,13.2397,TRUE
pp403,adult,434,bin_10,10,trial3,cheek,10.5364,TRUE
pp403,child,525,bin_0,0,trial5,brow,10.4823,TRUE
pp403,child,525,bin_1,1,trial5,brow,8.4324,TRUE
pp403,child,525,bin_2,2,trial5,brow,9.601,TRUE
pp403,child,525,bin_3,3,trial5,brow,7.8638,TRUE
pp403,child,525,bin_4,4,trial5,brow,6.0285,TRUE
pp403,child,525,bin_5,5,trial5,brow,7.1525,TRUE
pp403,child,525,bin_6,6,trial5,brow,5.1116,TRUE
pp403,child,525,bin_7,7,trial5,brow,5.4066,TRUE
pp403,child,525,bin_8,8,trial5,brow,4.3348,TRUE
pp403,child,525,bin_9,9,trial5,brow,4.3177,TRUE
pp403,child,525,bin_10,10,trial5,brow,4.8209,TRUE
pp403,child,525,bin_0,0,trial8,cheek,6.6765,TRUE
pp403,child,525,bin_1,1,trial8,cheek,5.1807,TRUE
pp403,child,525,bin_2,2,trial8,cheek,3.7912,TRUE
pp403,child,525,bin_3,3,trial8,cheek,3.7319,TRUE
pp403,child,525,bin_4,4,trial8,cheek,4.7721,TRUE
pp403,child,525,bin_5,5,trial8,cheek,4.2186,TRUE
pp403,child,525,bin_6,6,trial8,cheek,3.0604,TRUE
pp403,child,525,bin_7,7,trial8,cheek,4.305,TRUE
pp403,child,525,bin_8,8,trial8,cheek,4.2576,TRUE
pp403,child,525,bin_9,9,trial8,cheek,3.7805,TRUE
pp403,child,525,bin_10,10,trial8,cheek,4.0417,TRUE
pp403,adult,535,bin_0,0,trial7,cheek,5.831,TRUE
pp403,adult,535,bin_1,1,trial7,cheek,4.2208,TRUE
