pp_no,muscle,condition,trial,bin,bin_no,rms
5410,cheek,285,trial4,bin_18,18,13.186
5410,cheek,285,trial4,bin_19,19,23.2341
5410,cheek,285,trial4,bin_20,20,48.448
5410,cheek,285,trial5,bin_0,0,9.5544
5410,cheek,285,trial5,bin_1,1,7.5812
5410,cheek,285,trial5,bin_2,2,10.4135
5410,cheek,285,trial5,bin_3,3,8.24
5410,cheek,285,trial5,bin_4,4,8.4478
5410,cheek,285,trial5,bin_5,5,9.6047
5410,cheek,285,trial5,bin_6,6,9.033
5410,cheek,285,trial5,bin_7,7,11.193
5410,cheek,285,trial5,bin_8,8,13.4281
5410,cheek,285,trial5,bin_9,9,14.1687
5410,cheek,285,trial5,bin_10,10,19.2422
5410,cheek,285,trial5,bin_11,11,54.0066
5410,cheek,285,trial5,bin_12,12,55.7353
5410,cheek,285,trial5,bin_13,13,148.8394
5410,cheek,285,trial5,bin_14,14,135.502
5410,cheek,285,trial5,bin_15,15,66.7434
5410,cheek,285,trial5,bin_16,16,94.4353
5410,cheek,285,trial5,bin_17,17,69.5168
5410,cheek,285,trial5,bin_18,18,48.1177
5410,cheek,285,trial5,bin_19,19,59.9894
5410,cheek,285,trial5,bin_20,20,55.2989
5410,cheek,285,trial6,bin_0,0,8.6003
5410,cheek,285,trial6,bin_1,1,12.7968
5410,cheek,285,trial6,bin_2,2,8.0064
5410,cheek,285,trial6,bin_3,3,11.0469
5410,cheek,285,trial6,bin_4,4,7.1653
5410,cheek,285,trial6,bin_5,5,8.7662
5410,cheek,285,trial6,bin_6,6,12.0374
5410,cheek,285,trial6,bin_7,7,15.3191
5410,cheek,285,trial6,bin_8,8,15.7665
5410,cheek,285,trial6,bin_9,9,11.7278
5410,cheek,285,trial6,bin_10,10,16.3092
5410,cheek,285,trial6,bin_11,11,17.7409
5410,cheek,285,trial6,bin_12,12,12.3557
5410,cheek,285,trial6,bin_13,13,16.4431
5410,cheek,285,trial6,bin_14,14,16.6683
5410,cheek,285,trial6,bin_15,15,10.8965
5410,cheek,285,trial6,bin_16,16,9.2868
5410,cheek,285,trial6,bin_17,17,15.2727
5410,cheek,285,trial6,bin_18,18,18.478
5410,cheek,285,trial6,bin_19,19,16.8815
5410,cheek,285,trial6,bin_20,20,11.1946
5410,cheek,285,trial7,bin_0,0,4.2316
5410,cheek,285,trial7,bin_1,1,4.4805
5410,cheek,285,trial7,bin_2,2,4.192
5410,cheek,285,trial7,bin_3,3,4.0498
5410,cheek,285,trial7,bin_4,4,4.2947
5410,cheek,285,trial7,bin_5,5,3.6195
5410,cheek,285,trial7,bin_6,6,3.6337
5410,cheek,285,trial7,bin_7,7,4.2487
5410,cheek,285,trial7,bin_8,8,6.2077
5410,cheek,285,trial7,bin_9,9,4.3393
5410,cheek,285,trial7,bin_10,10,4.8031
5410,cheek,285,trial7,bin_11,11,6.0258
5410,cheek,285,trial7,bin_12,12,5.8546
5410,cheek,285,trial7,bin_13,13,4.7729
5410,cheek,285,trial7,bin_14,14,5.6981
5410,cheek,285,trial7,bin_15,15,6.1575
5410,cheek,285,trial7,bin_16,16,5.3904
5410,cheek,285,trial7,bin_17,17,4.5176
5410,cheek,285,trial7,bin_18,18,4.5228
5410,cheek,285,trial7,bin_19,19,5.7392
5410,cheek,285,trial7,bin_20,20,5.4126
5410,cheek,285,trial8,bin_0,0,6.1767
5410,cheek,285,trial8,bin_1,1,5.7271
5410,cheek,285,trial8,bin_2,2,4.5192
5410,cheek,285,trial8,bin_3,3,3.9014
5410,cheek,285,trial8,bin_4,4,3.1873
5410,cheek,285,trial8,bin_5,5,3.2518
5410,cheek,285,trial8,bin_6,6,3.3243
5410,cheek,285,trial8,bin_7,7,4.046
5410,cheek,285,trial8,bin_8,8,3.7582
5410,cheek,285,trial8,bin_9,9,3.746
5410,cheek,285,trial8,bin_10,10,3.4264
5410,cheek,285,trial8,bin_11,11,3.9065
5410,cheek,285,trial8,bin_12,12,5.8665
5410,cheek,285,trial8,bin_13,13,10.6542
5410,cheek,285,trial8,bin_14,14,10.5282
5410,cheek,285,trial8,bin_15,15,14.6296
5410,cheek,285,trial8,bin_16,16,7.9139
5410,cheek,285,trial8,bin_17,17,12.3353
5410,cheek,285,trial8,bin_18,18,14.2507
5410,cheek,285,trial8,bin_19,19,9.5883
5410,cheek,285,trial8,bin_20,20,23.6416
p488,brow,285,trial1,bin_0,0,13.9241
p488,brow,285,trial1,bin_1,1,11.3227
p488,brow,285,trial1,bin_2,2,14.7327
p488,brow,285,trial1,bin_3,3,15.8853
p488,brow,285,trial1,bin_4,4,19.6488
p488,brow,285,trial1,bin_5,5,15.926
p488,brow,285,trial1,bin_6,6,14.3562
p488,brow,285,trial1,bin_7,7,21.8659
p488,brow,285,trial1,bin_8,8,14.6337
p488,brow,285,trial1,bin_9,9,13.6871
p488,brow,285,trial1,bin_10,10,18.9431
p488,brow,285,trial1,bin_11,11,14.9691
p488,brow,285,trial1,bin_12,12,10.4506
p488,brow,285,trial1,bin_13,13,8.7542
p488,brow,285,trial1,bin_14,14,9.5305
p488,brow,285,trial1,bin_15,15,11.3773
p488,brow,285,trial1,bin_16,16,12.8738
p488,brow,285,trial1,bin_17,17,14.5232
p488,brow,285,trial1,bin_18,18,16.5829
p488,brow,285,trial1,bin_19,19,13.1663
p488,brow,285,trial1,bin_20,20,14.0847
p488,brow,285,trial2,bin_0,0,15.1053
p488,brow,285,trial2,bin_1,1,17.006
p488,brow,285,trial2,bin_2,2,12.1675
p488,brow,285,trial2,bin_3,3,13.2199
p488,brow,285,trial2,bin_4,4,12.9082
p488,brow,285,trial2,bin_5,5,16.0118
p488,brow,285,trial2,bin_6,6,18.0602
p488,brow,285,trial2,bin_7,7,15.0736
p488,brow,285,trial2,bin_8,8,16.7061
p488,brow,285,trial2,bin_9,9,17.1558
p488,brow,285,trial2,bin_10,10,13.6087
p488,brow,285,trial2,bin_11,11,15.5478
p488,brow,285,trial2,bin_12,12,15.1897
p488,brow,285,trial2,bin_13,13,17.721
p488,brow,285,trial2,bin_14,14,21.5146
p488,brow,285,trial2,bin_15,15,13.7579
p488,brow,285,trial2,bin_16,16,16.2461
p488,brow,285,trial2,bin_17,17,12.6223
p488,brow,285,trial2,bin_18,18,10.8316
p488,brow,285,trial2,bin_19,19,11.5115
p488,brow,285,trial2,bin_20,20,21.0258
p488,brow,285,trial3,bin_0,0,13.9808
p488,brow,285,trial3,bin_1,1,12.8604
p488,brow,285,trial3,bin_2,2,13.4683
p488,brow,285,trial3,bin_3,3,15.8759
p488,brow,285,trial3,bin_4,4,10.1405
p488,brow,285,trial3,bin_5,5,13.8818
p488,brow,285,trial3,bin_6,6,11.9889
p488,brow,285,trial3,bin_7,7,15.6774
p488,brow,285,trial3,bin_8,8,18.2193
p488,brow,285,trial3,bin_9,9,15.3365
p488,brow,285,trial3,bin_10,10,10.078
p488,brow,285,trial3,bin_11,11,13.2785
p488,brow,285,trial3,bin_12,12,14.2197
p488,brow,285,trial3,bin_13,13,16.8145
p488,brow,285,trial3,bin_14,14,18.639
p488,brow,285,trial3,bin_15,15,16.8101
p488,brow,285,trial3,bin_16,16,13.2778
p488,brow,285,trial3,bin_17,17,14.9148
p488,brow,285,trial3,bin_18,18,12.9262
p488,brow,285,trial3,bin_19,19,19.2968
p488,brow,285,trial3,bin_20,20,14.1139
p488,brow,285,trial4,bin_0,0,16.1344
p488,brow,285,trial4,bin_1,1,26.8363
p488,brow,285,trial4,bin_2,2,15.489
p488,brow,285,trial4,bin_3,3,13.5277
p488,brow,285,trial4,bin_4,4,12.2975
p488,brow,285,trial4,bin_5,5,15.33
p488,brow,285,trial4,bin_6,6,12.3809
p488,brow,285,trial4,bin_7,7,11.4236
p488,brow,285,trial4,bin_8,8,15.4269
p488,brow,285,trial4,bin_9,9,22.4829
p488,brow,285,trial4,bin_10,10,16.2513
p488,brow,285,trial4,bin_11,11,16.4353
p488,brow,285,trial4,bin_12,12,14.7132
p488,brow,285,trial4,bin_13,13,13.2104
p488,brow,285,trial4,bin_14,14,8.7998
p488,brow,285,trial4,bin_15,15,11.9987
p488,brow,285,trial4,bin_16,16,7.9185
p488,brow,285,trial4,bin_17,17,9.2363
p488,brow,285,trial4,bin_18,18,8.9274
p488,brow,285,trial4,bin_19,19,11.7688
p488,brow,285,trial4,bin_20,20,7.4642
p488,brow,285,trial5,bin_0,0,16.1162
p488,brow,285,trial5,bin_1,1,14.2085
p488,brow,285,trial5,bin_2,2,12.805
p488,brow,285,trial5,bin_3,3,21.2002
p488,brow,285,trial5,bin_4,4,19.3726
p488,brow,285,trial5,bin_5,5,15.5544
p488,brow,285,trial5,bin_6,6,14.4483
p488,brow,285,trial5,bin_7,7,12.302
p488,brow,285,trial5,bin_8,8,15.6356
p488,brow,285,trial5,bin_9,9,15.7176
p488,brow,285,trial5,bin_10,10,20.5814
p488,brow,285,trial5,bin_11,11,14.7328
p488,brow,285,trial5,bin_12,12,25.3368
p488,brow,285,trial5,bin_13,13,15.4357
p488,brow,285,trial5,bin_14,14,20.1654
p488,brow,285,trial5,bin_15,15,12.0763
p488,brow,285,trial5,bin_16,16,15.1041
p488,brow,285,trial5,bin_17,17,16.2407
p488,brow,285,trial5,bin_18,18,14.9431
p488,brow,285,trial5,bin_19,19,22.9977
p488,brow,285,trial5,bin_20,20,18.773
p488,brow,285,trial6,bin_0,0,14.88
p488,brow,285,trial6,bin_1,1,16.8314
p488,brow,285,trial6,bin_2,2,14.126
p488,brow,285,trial6,bin_3,3,14.2742
p488,brow,285,trial6,bin_4,4,13.018
p488,brow,285,trial6,bin_5,5,17.1659
p488,brow,285,trial6,bin_6,6,15.2979
p488,brow,285,trial6,bin_7,7,16.195
p488,brow,285,trial6,bin_8,8,16.2191
p488,brow,285,trial6,bin_9,9,18.5693
p488,brow,285,trial6,bin_10,10,18.703
p488,brow,285,trial6,bin_11,11,13.6835
p488,brow,285,trial6,bin_12,12,15.1566
p488,brow,285,trial6,bin_13,13,14.9053
